begdate,enddate,pressconf,scheduled
2/14/1972,2/14/1972,0,1
2/15/1972,2/15/1972,0,1
3/21/1972,3/21/1972,0,1
4/17/1972,4/17/1972,0,1
4/18/1972,4/18/1972,0,1
5/23/1972,5/23/1972,0,1
6/19/1972,6/20/1972,0,1
7/18/1972,7/18/1972,0,1
8/15/1972,8/15/1972,0,1
9/19/1972,9/19/1972,0,1
10/17/1972,10/17/1972,0,1
11/20/1972,11/21/1972,0,1
12/19/1972,12/19/1972,0,1
1/16/1973,1/16/1973,0,1
2/13/1973,2/13/1973,0,1
3/7/1973,3/7/1973,0,0
3/19/1973,3/20/1973,0,1
4/17/1973,4/17/1973,0,1
5/15/1973,5/15/1973,0,1
6/18/1973,6/19/1973,0,1
7/9/1973,7/9/1973,0,0
7/17/1973,7/17/1973,0,1
8/21/1973,8/21/1973,0,1
9/18/1973,9/18/1973,0,1
10/2/1973,10/2/1973,0,0
10/10/1973,10/10/1973,0,0
10/16/1973,10/16/1973,0,1
11/19/1973,11/20/1973,0,1
12/17/1973,12/18/1973,0,1
1/21/1974,1/22/1974,0,1
2/20/1974,2/20/1974,0,1
3/18/1974,3/19/1974,0,1
4/15/1974,4/16/1974,0,1
5/21/1974,5/21/1974,0,1
6/18/1974,6/18/1974,0,1
7/5/1974,7/5/1974,0,0
7/16/1974,7/16/1974,0,1
8/20/1974,8/20/1974,0,1
9/10/1974,9/10/1974,0,1
10/14/1974,10/15/1974,0,1
11/19/1974,11/19/1974,0,1
12/16/1974,12/17/1974,0,1
1/20/1975,1/21/1975,0,1
2/19/1975,2/19/1975,0,1
3/18/1975,3/18/1975,0,1
4/14/1975,4/15/1975,0,1
5/20/1975,5/20/1975,0,1
6/16/1975,6/17/1975,0,1
7/15/1975,7/15/1975,0,1
8/19/1975,8/19/1975,0,1
9/16/1975,9/16/1975,0,1
10/21/1975,10/21/1975,0,1
11/18/1975,11/18/1975,0,1
12/16/1975,12/16/1975,0,1
1/20/1976,1/20/1976,0,1
2/17/1976,2/18/1976,0,1
3/15/1976,3/16/1976,0,1
3/29/1976,3/29/1976,0,1
4/20/1976,4/20/1976,0,1
5/18/1976,5/18/1976,0,1
6/22/1976,6/22/1976,0,1
7/19/1976,7/20/1976,0,1
8/17/1976,8/17/1976,0,1
9/21/1976,9/21/1976,0,1
10/19/1976,10/19/1976,0,1
11/8/1976,11/8/1976,0,0
11/16/1976,11/16/1976,0,1
12/20/1976,12/21/1976,0,1
1/17/1977,1/18/1977,0,1
2/15/1977,2/15/1977,0,1
3/15/1977,3/15/1977,0,1
4/19/1977,4/19/1977,0,1
5/17/1977,5/17/1977,0,1
5/27/1977,5/27/1977,0,0
6/21/1977,6/21/1977,0,1
7/19/1977,7/19/1977,0,1
8/16/1977,8/16/1977,0,1
9/20/1977,9/20/1977,0,1
10/17/1977,10/18/1977,0,1
11/15/1977,11/15/1977,0,1
12/19/1977,12/20/1977,0,1
1/5/1978,1/5/1978,0,0
1/17/1978,1/17/1978,0,1
2/28/1978,2/28/1978,0,1
3/10/1978,3/10/1978,0,0
3/21/1978,3/21/1978,0,1
4/18/1978,4/18/1978,0,1
5/5/1978,5/5/1978,0,0
5/16/1978,5/16/1978,0,1
6/20/1978,6/20/1978,0,1
7/18/1978,7/18/1978,0,1
8/15/1978,8/15/1978,0,1
9/8/1978,9/8/1978,0,0
9/19/1978,9/19/1978,0,1
10/17/1978,10/17/1978,0,1
11/21/1978,11/21/1978,0,1
12/19/1978,12/19/1978,0,1
1/12/1979,1/12/1979,0,0
2/6/1979,2/6/1979,0,1
3/2/1979,3/2/1979,0,0
3/20/1979,3/20/1979,0,1
4/17/1979,4/17/1979,0,1
4/27/1979,4/27/1979,0,0
5/22/1979,5/22/1979,0,1
6/27/1979,6/27/1979,0,0
7/11/1979,7/11/1979,0,1
7/17/1979,7/17/1979,0,0
7/19/1979,7/19/1979,0,0
