"","Date","ret1","C","ret2","algo_ret"
"32",2010-02-25,0.000799999944865704,191.52,0,0.000799999944865704
"33",2010-02-26,0.000400000013411045,191.52,0,0.000400000013411045
"34",2010-03-01,0.00116666671137014,191.52,0,0.00116666671137014
"35",2010-03-02,0.000933333297570546,191.52,0,0.000933333297570546
"36",2010-03-03,0.000233333326876163,191.52,0,0.000233333326876163
"37",2010-03-04,0.000200000005463759,191.52,0,0.000200000005463759
"38",2010-03-05,0,191.51,0,0
"39",2010-03-08,0.00109999992698431,191.51,0,0.00109999992698431
"40",2010-03-09,0.000450000021606684,191.52,5.22165944338848e-05,0.00049699495659718
"41",2010-03-10,0.000299999997019768,191.52,0,0.000299999997019768
"42",2010-03-11,0.000199999999254942,191.52,0,0.000199999999254942
"43",2010-03-12,0.000100000001490116,191.52,0,0.000100000001490116
"44",2010-03-15,0.000545454499396419,191.52,0,0.000545454499396419
"45",2010-03-16,0.000863636325706135,191.52,0,0.000863636325706135
"46",2010-03-17,0.00045454547486522,191.52,0,0.00045454547486522
"47",2010-03-18,0.000136363635008985,191.52,0,0.000136363635008985
"48",2010-03-19,0.00013636364178224,191.52,0,0.00013636364178224
"49",2010-03-22,0.00129999995976686,191.53,5.2213868003248e-05,0.00134699244096978
"50",2010-03-23,0.000450000021606684,191.53,0,0.000450000021606684
"51",2010-03-24,0,191.53,0,0
"52",2010-03-25,0.000149999994784594,191.53,0,0.000149999994784594
"53",2010-03-26,0.000150000005960464,191.53,0,0.000150000005960464
"54",2010-03-29,0.00263333331793546,191.53,0,0.00263333331793546
"55",2010-03-30,0.000833333258827527,191.53,0,0.000833333258827527
"56",2010-03-31,0.00036666668454806,191.53,0,0.00036666668454806
"57",2010-04-01,0.000133333337803682,191.53,0,0.000133333337803682
"58",2010-04-05,0.00163333329061667,191.53,0,0.00163333329061667
"59",2010-04-06,0.000366666662196318,191.53,0,0.000366666662196318
"60",2010-04-07,-9.99999791383743e-05,191.53,0,-9.99999791383743e-05
"61",2010-04-08,0.00039999998609225,191.53,0,0.00039999998609225
"62",2010-04-09,3.33333338300387e-05,191.54,5.22111418577165e-05,8.03233615019835e-05
"63",2010-04-12,0.000964285763246676,191.54,0,0.000964285763246676
"64",2010-04-13,0.000678571361516203,191.54,0,0.000678571361516203
"65",2010-04-14,0.000821428588990654,191.54,0,0.000821428588990654
"66",2010-04-15,7.14285618492535e-05,191.54,0,7.14285618492535e-05
"67",2010-04-16,0.000214285720139742,191.54,0,0.000214285720139742
"68",2010-04-19,0.0013999999165535,191.55,5.22084159968461e-05,0.00144698749095066
"69",2010-04-20,0.00060000005364418,191.55,0,0.00060000005364418
"70",2010-04-21,0.000399999968707561,191.55,0,0.000399999968707561
"71",2010-04-22,0.000400000013411045,191.55,0,0.000400000013411045
"72",2010-04-23,0,191.55,0,0
"73",2010-04-26,0.000500000014901161,191.55,0,0.000500000014901161
"74",2010-04-27,-0.00950000007450581,191.55,0,-0.00950000007450581
"75",2010-04-28,0.00725000002980232,191.55,0,0.00725000002980232
"76",2010-04-29,0.00325000002607703,191.55,0,0.00325000002607703
"77",2010-04-30,0.00025000000372529,191.55,0,0.00025000000372529
"78",2010-05-03,0.00213333327571551,191.55,0,0.00213333327571551
"79",2010-05-04,-0.00340000000596046,191.56,5.22056904201929e-05,-0.00335301488458229
"80",2010-05-05,-0.000666666845480601,191.56,0,-0.000666666845480601
"81",2010-05-06,-0.0239666660030683,191.57,5.22029651284228e-05,-0.0239196833344527
"82",2010-05-10,0.00485000024735928,191.57,0,0.00485000024735928
"83",2010-05-11,0.000299999985843897,191.56,0,0.000299999985843897
"84",2010-05-12,5.00000044703484e-05,191.56,0,5.00000044703484e-05
"85",2010-05-13,5.00000007450581e-05,191.57,5.22029651284228e-05,9.69826693606386e-05
"86",2010-05-14,0,191.57,0,0
"87",2010-05-17,0.00201923080934928,191.57,0,0.00201923080934928
"88",2010-05-18,-0.00117307698497405,191.57,0,-0.00117307698497405
"89",2010-05-19,0.000903846140091236,191.57,0,0.000903846140091236
"90",2010-05-20,-0.00805769211397721,191.57,0,-0.00805769211397721
"91",2010-05-24,0.000620000106096264,191.57,0,0.000620000106096264
